studyday,sample_number,lab_id_2,sample_id,sample_type,sample_type_other,sample_intact,eluate_volume,bap_total,bap_cfu_s_calculated,bap_cfu_e_calculated,bap_cfu_tntc,number_isolates_mac,mac_1_cfu_cnt,mac_1_cfu_s_calculated,mac_1_cfu_e_calculated,mac_1_cfu_tntc,lac_ferm_mat_mac_1,oxidase_mat_mac_1,indole_mat_mac_1,gram_stain_mac_1,mac_1_iso_number,mac_1_freezer_box,mac_1_slot,maldi_mac_1,id_maldi_1_mac_1,id_maldi_1_score_mac_1,id_maldi_2_mac_1,id_maldi_2_score_mac_1,maldi_comments_mac_1,disk_diffusion_date_mac_1,aztreonam_zone_1,aztreonam_int_1,cefotaxime_zone_1,cefotaxime_int_1,ctx_clav_zone_1,ctx_clav_int_1,ceftazidime_zone_1,ceftazidime_int_1,ceftaz_clav_zone_1,ceftaz_clav_int_1,ertapenem_zone_1,ertapenem_int_1,mac_2_cfu_cnt,mac_2_cfu_s_calculated,mac_2_cfu_e_calculated,mac_2_cfu_tntc,lac_ferm_mat_mac_2,oxidase_mat_mac_2,indole_mat_mac_2,gram_stain_mac_2,mac_2_iso_number,mac_2_freezer_box,mac_2_slot,maldi_mac_2,id_maldi_1_mac_2,id_maldi_1_score_mac_2,id_maldi_2_mac_2,id_maldi_2_score_mac_2,maldi_comments_mac_2,disk_diffusion_date_mac_2,aztreonam_zone_2,aztreonam_int_2,cefotaxime_zone_2,cefotaxime_int_2,ctx_clav_zone_2,ctx_clav_int_2,ceftazidime_zone_2,ceftazidime_int_2,ceftaz_clav_zone_2,ceftaz_clav_int_2,ertapenem_zone_2,ertapenem_int_2,mac_3_cfu_cnt,mac_3_cfu_s_calculated,mac_3_cfu_e_calculated,mac_3_cfu_tntc,lac_ferm_mat_mac_3,oxidase_mat_mac_3,indole_mat_mac_3,gram_stain_mac_3,mac_3_iso_number,mac_3_freezer_box,mac_3_slot,maldi_mac_3,id_maldi_1_mac_3,id_maldi_1_score_mac_3,id_maldi_2_mac_3,id_maldi_2_score_mac_3,maldi_comments_mac_3,disk_diffusion_date_mac_3,aztreonam_zone_3,aztreonam_int_3,cefotaxime_zone_3,cefotaxime_int_3,ctx_clav_zone_3,ctx_clav_int_3,ceftazidime_zone_3,ceftazidime_int_3,ceftaz_clav_zone_3,ceftaz_clav_int_3,ertapenem_zone_3,ertapenem_int_3,mac_4_cfu_cnt,mac_4_cfu_s_calculated,mac_4_cfu_e_calculated,mac_4_cfu_tntc,lac_ferm_mat_mac_4,oxidase_mat_mac_4,indole_mat_mac_4,gram_stain_mac_4,mac_4_iso_number,mac_4_freezer_box,mac_4_slot,maldi_mac_4,id_maldi_1_mac_4,id_maldi_1_score_mac_4,id_maldi_2_mac_4,id_maldi_2_score_mac_4,maldi_comments_mac_4,disk_diffusion_date_mac_4,aztreonam_zone_4,aztreonam_int_4,cefotaxime_zone_4,cefotaxime_int_4,ctx_clav_zone_4,ctx_clav_int_4,ceftazidime_zone_4,ceftazidime_int_4,ceftaz_clav_zone_4,ceftaz_clav_int_4,ertapenem_zone_4,ertapenem_int_4,mac_5_cfu_cnt,mac_5_cfu_s_calculated,mac_5_cfu_e_calculated,mac_5_cfu_tntc,lac_ferm_mat_mac_5,oxidase_mat_mac_5,indole_mat_mac_5,gram_stain_mac_5,mac_5_iso_number,mac_5_freezer_box,mac_5_slot,maldi_mac_5,id_maldi_1_mac_5,id_maldi_1_score_mac_5,id_maldi_2_mac_5,id_maldi_2_score_mac_5,maldi_comments_mac_5,disk_diffusion_date_mac_5,aztreonam_zone_5,aztreonam_int_5,cefotaxime_zone_5,cefotaxime_int_5,ctx_clav_zone_5,ctx_clav_int_5,ceftazidime_zone_5,ceftazidime_int_5,ceftaz_clav_zone_5,ceftaz_clav_int_5,ertapenem_zone_5,ertapenem_int_5,add_isolates_tsb,tsb_broth,number_isolates_tsb,lac_ferm_mat_tsb_1,oxidase_mat_tsb_1,indole_mat_tsb_1,gram_stain_tsb_1,tsb_1_iso_number,tsb_1_freezer_box,tsb_1_slot,maldi_tsb_1,id_maldi_1_tsb_1,id_maldi_1_score_tsb_1,id_maldi_2_tsb_1,id_maldi_2_score_tsb_1,maldi_comments_tsb_1,disk_diffusion_date_tsb_1,aztreonam_zone_1_2,aztreonam_int_1_2,cefotaxime_zone_1_2,cefotaxime_int_1_2,ctx_clav_zone_1_2,ctx_clav_int_1_2,ceftazidime_zone_1_2,ceftazidime_int_1_2,ceftaz_clav_zone_1_2,ceftaz_clav_int_1_2,ertapenem_zone_1_2,ertapenem_int_1_2,lac_ferm_mat_tsb_2,oxidase_mat_tsb_2,indole_mat_tsb_2,gram_stain_tsb_2,tsb_2_iso_number,tsb_2_freezer_box,tsb_2_slot,maldi_tsb_2,id_maldi_1_tsb_2,id_maldi_1_score_tsb_2,id_maldi_2_tsb_2,id_maldi_2_score_tsb_2,maldi_comments_tsb_2,disk_diffusion_date_tsb_2,aztreonam_zone_2_2,aztreonam_int_2_2,cefotaxime_zone_2_2,cefotaxime_int_2_2,ctx_clav_zone_2_2,ctx_clav_int_2_2,ceftazidime_zone_2_2,ceftazidime_int_2_2,ceftaz_clav_zone_2_2,ceftaz_clav_int_2_2,ertapenem_zone_2_2,ertapenem_int_2_2,lac_ferm_mat_tsb_3,oxidase_mat_tsb_3,indole_mat_tsb_3,gram_stain_tsb_3,tsb_3_iso_number,tsb_3_freezer_box,tsb_3_slot,maldi_tsb_3,id_maldi_1_tsb_3,id_maldi_1_score_tsb_3,id_maldi_2_tsb_3,id_maldi_2_score_tsb_3,maldi_comments_tsb_3,disk_diffusion_date_tsb_3,aztreonam_zone_3_2,aztreonam_int_3_2,cefotaxime_zone_3_2,cefotaxime_int_3_2,ctx_clav_zone_3_2,ctx_clav_int_3_2,ceftazidime_zone_3_2,ceftazidime_int_3_2,ceftaz_clav_zone_3_2,ceftaz_clav_int_3_2,ertapenem_zone_3_2,ertapenem_int_3_2,number_isolates_vre,vre_1_cfu_cnt,vre_1_cfu_s_calculated,vre_1_cfu_e_calculated,vre_1_cfu_tntc,vre_colony_color_1,color_other_vre_1,vre_gram_stain,cat_mat_vre_1,pyr_mat_vre_1,lap_mat_vre_1,id_vre_1,cvre_1_iso_number,vre_1_freezer_box,vre_1_slot,maldi_vre_1,id_maldi_1_vre_1,id_maldi_1_score_vre_1,id_maldi_2_vre_1,id_maldi_2_score_vre_1,maldi_comments_vre_1,disk_diffusion_date_vre_1,vancomycin_zone_1,vancomycin_int_1,vre_2_cfu_cnt,vre_2_cfu_s_calculated,vre_2_cfu_e_calculated,vre_2_cfu_tntc,vre_colony_color_2,color_other_vre_2,vre_gram_stain_2,cat_mat_vre_2,pyr_mat_vre_2,lap_mat_vre_2,id_vre_2,cvre_2_iso_number,vre_2_freezer_box,vre_2_slot,maldi_vre_2,id_maldi_1_vre_2,id_maldi_1_score_vre_2,id_maldi_2_vre_2,id_maldi_2_score_vre_2,maldi_comments_vre_2,disk_diffusion_date_vre_2,vancomycin_zone_2,vancomycin_int_2,vre_3_cfu_cnt,vre_3_cfu_s_calculated,vre_3_cfu_e_calculated,vre_3_cfu_tntc,vre_colony_color_3,color_other_vre_3,vre_gram_stain_3,cat_mat_vre_3,pyr_mat_vre_3,lap_mat_vre_3,id_vre_3,cvre_3_iso_number,vre_3_freezer_box,vre_3_slot,maldi_vre_3,id_maldi_1_vre_3,id_maldi_1_score_vre_3,id_maldi_2_vre_3,id_maldi_2_score_vre_3,maldi_comments_vre_3,disk_diffusion_date_vre_3,vancomycin_zone_3,vancomycin_int_3,add_iso_bea,bea,number_isolates_bea,colony_color_bea_1,color_other_bea_1,gram_stain_bea_1,catalase_mat_bea_1,pyr_mat_bea_1,lap_mat_bea_1,id_bea_1,bea_1_iso_number,bea_1_freezer_box,bea_1_slot,maldi_bea_1,id_maldi_1_bea_1,id_maldi_1_score_bea_1,id_maldi_2_bea_1,id_maldi_2_score_bea_1,maldi_comments_bea_1,disk_diffusion_date_bea_1,vancomycin_zone_1_2,vancomycin_int_1_2,colony_color_bea_2,color_other_bea_2,gram_stain_bea_2,catalase_mat_bea_2,pyr_mat_bea_2,lap_mat_bea_2,id_bea_2,bea_2_iso_number,bea_2_freezer_box,bea_2_slot,maldi_bea_2,id_maldi_1_bea_2,id_maldi_1_score_bea_2,id_maldi_2_bea_2,id_maldi_2_score_bea_2,maldi_comments_bea_2,disk_diffusion_date_bea_2,vancomycin_zone_2_2,vancomycin_int_2_2,colony_color_bea_3,color_other_bea_3,gram_stain_bea_3,catalase_mat_bea_3,pyr_mat_bea_3,lap_mat_bea_3,id_bea_3,bea_3_iso_number,bea_3_freezer_box,bea_3_slot,maldi_bea_3,id_maldi_1_bea_3,id_maldi_1_score_bea_3,id_maldi_2_bea_3,id_maldi_2_score_bea_3,disk_diffusion_date_bea_3,maldi_comments_bea_3,vancomycin_zone_3_2,vancomycin_int_3_2,number_isolates_cdif,cdif_1_cfu_cnt,cdif_1_cfu_s_calculated,cdif_1_cfu_e_calculated,cdif_1_cfu_tntc,indole_mat_cdif_1,pro_mat_cdif_1,id_cdif_ccfaht_1,ccfa_1_iso_number,ccfaht_1_freezer_box,ccfaht_1_slot,maldi_cdif_1,id_maldi_1_cdif_1,id_maldi_1_score_cdif_1,id_maldi_2_cdif_1,id_maldi_2_score_cdif_1,maldi_comments_cdif_1,cdif_pcr_date_1,cdif_1_tox_1,cdif_1_o27_1,cdif_1_bt_1,cdif_1_tcdc_1,cdif_2_cfu_cnt,cdif_2_cfu_s_calculated,cdif_2_cfu_e_calculated,cdif_2_cfu_tntc,indole_mat_ccfaht_2,pro_mat_ccfaht_2,id_cdif_ccfaht_2,ccfa_2_iso_number,ccfaht_2_freezer_box,ccfaht_2_slot,maldi_cdif_2,id_maldi_1_cdif_2,id_maldi_1_score_cdif_2,id_maldi_2_cdif_2,id_maldi_2_score_cdif_2,maldi_comments_cdif_2,cdif_pcr_date_2,cdif_1_tox_2,cdif_1_o27_2,cdif_1_bt_2,cdif_1_tcdc_2,cdif_3_cfu_cnt,cdif_3_cfu_s_calculated,cdif_3_cfu_e_calculated,cdif_3_cfu_tntc,indole_mat_ccfaht_3,pro_mat_ccfaht_3,id_cdif_ccfaht_3,ccfa_3_iso_number,ccfaht_3_freezer_box,ccfaht_3_slot,maldi_cdif_3,id_maldi_1_cdif_3,id_maldi_1_score_cdif_3,id_maldi_2_cdif_3,id_maldi_2_score_cdif_3,maldi_comments_cdif_3,cdif_pcr_date_3,cdif_1_tox_3,cdif_1_o27_3,cdif_1_bt_3,cdif_1_tcdc_3,add_iso_ccmb,cdif_broth,number_isolates_cdif_broth,indole_mat_ccmb_1,pro_mat_ccmb_1,id_cdif_ccmb_1,ccmb_1_iso_number,ccmb_1_freezer_box,ccmb_1_slot,maldi_ccmb_1,id_maldi_1_ccmb_1,id_maldi_1_score_ccmb_1,id_maldi_2_ccmb_1,id_maldi_2_score_ccmb_1,maldi_comments_ccmb_1,cdif_pcr_date_4,cdif_1_tox_4,cdif_1_o27_4,cdif_1_bt_4,cdif_1_tcdc_4,indole_mat_ccmb_2,pyr_mat_ccmb_2,id_cdif_ccmb_2,ccmb_2_iso_number,ccmb_2_freezer_box,ccmb_2_slot,maldi_ccmb_2,id_maldi_1_ccmb_2,id_maldi_1_score_ccmb_2,id_maldi_2_ccmb_2,id_maldi_2_score_ccmb_2,maldi_comments_ccmb_2,cdif_pcr_date_5,cdif_1_tox_5,cdif_1_o27_5,cdif_1_bt_5,cdif_1_tcdc_5,indole_mat_ccmb_3,pro_mat_ccmb_3,id_cdif_ccmb_3,ccmb_3_iso_number,ccmb_3_freezer_box,ccmb_3_slot,maldi_ccmb_3,id_maldi_1_ccmb_3,id_maldi_1_score_ccmb_3,id_maldi_2_ccmb_3,id_maldi_2_score_ccmb_3,maldi_comments_ccmb_3,cdif_pcr_date_6,cdif_1_tox_6,cdif_1_o27_6,cdif_1_bt_6,cdif_1_tcdc_6,lab_comments,sample_processing_results_comple
,4696,MISC-07,BETASEPT,2,BETAS,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,4697,MISC-08,DK BLUE SHAVE GE,2,GEL,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,4700,MISC-11,CHLORHEXIDINE WI,2,WIPE,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,4692,MISC-03,BOTTLES H2O,2,H2O,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,4699,MISC-10,BLUE BATCH WIPES,2,WIPE,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,4693,MISC-04,LOTION RM 26,2,LOTIO,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,4691,MISC-02,LIGHT BLUE SHAVE,2,GEL,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,4701,MISC-12,BARRIER CREAM WI,2,WIPE,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,4695,MISC-06,LOTION NURSES' S,2,LOTIO,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,4698,MISC-09,US GEL 2214,2,GEL,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,4694,MISC-05,LOTION @ COMPUTE,2,LOTIO,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
